index,filename,ground_truth,predicted_verdict,predicted_label_binary,confidence,raw_bonafide_score,raw_spoof_score,inference_time_ms,error_type,account
0,file1010.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.896884,0.896884,0.103116,67,false_negative,eval0
1,file1000.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.999777,0.999777,0.000223,62,false_negative,eval1
5,file1013.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,uncertain,uncertain,0.591488,0.591488,0.408512,3,false_negative,eval1
7,file1060.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.989941,0.989941,0.010059,60,false_negative,eval3
9,file1047.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.82863,0.82863,0.17137,3,false_negative,eval1
10,file1001.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.999682,0.999682,0.000318,29,false_negative,eval2
11,file1069.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.994709,0.994709,0.005291,69,false_negative,eval3
12,file1062.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.98434,0.98434,0.01566,68,false_negative,eval0
13,file1022.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.663486,0.663486,0.336514,62,false_negative,eval1
14,file1024.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.996106,0.996106,0.003894,82,false_negative,eval2
15,file1056.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,1.0,1.0,0.0,60,false_negative,eval3
16,file106.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,uncertain,uncertain,0.565472,0.434528,0.565472,74,false_negative,eval0
18,file1009.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.993522,0.993522,0.006478,3,false_negative,eval2
19,file1039.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.860151,0.860151,0.139849,58,false_negative,eval3
21,file1038.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.999997,0.999997,3e-06,77,false_negative,eval1
22,file1029.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.99998,0.99998,2e-05,75,false_negative,eval2
23,file1021.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.987615,0.987615,0.012385,5,false_negative,eval3
24,file107.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.955315,0.955315,0.044685,91,false_negative,eval0
26,file1031.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.670882,0.670882,0.329118,73,false_negative,eval2
28,file1044.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.731159,0.731159,0.268841,15,false_negative,eval0
29,file1.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.978681,0.978681,0.021319,69,false_negative,eval1
30,file1041.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.997824,0.997824,0.002176,5,false_negative,eval2
31,file1007.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.999889,0.999889,0.000111,4,false_negative,eval3
35,file1045.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.999999,0.999999,1e-06,79,false_negative,eval3
36,file1006.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.998385,0.998385,0.001615,54,false_negative,eval0
38,file1052.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.999348,0.999348,0.000652,70,false_negative,eval2
39,file1003.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.973657,0.973657,0.026343,13,false_negative,eval3
40,file1002.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.687491,0.687491,0.312509,59,false_negative,eval0
41,file102.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.99003,0.99003,0.00997,74,false_negative,eval1
42,file1034.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.885207,0.885207,0.114793,5,false_negative,eval2
43,file1018.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.999994,0.999994,6e-06,6,false_negative,eval3
44,file1030.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.624546,0.624546,0.375454,1,false_negative,eval0
45,file1012.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.999673,0.999673,0.000327,1,false_negative,eval1
46,file100.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,1.0,1.0,0.0,53,false_negative,eval2
47,file1057.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,0.999997,0.999997,3e-06,3,false_negative,eval3
48,file1004.wav_16k.wav_norm.wav_mono.wav_silence.wav,spoof,human,bonafide,1.0,1.0,0.0,5,false_negative,eval0
